Datetime,Open,High,Low,Close,Volume,DollarValue
2024-03-06 13:39:00-05:00,510.11,510.61,510.11,510.61,346637,176909654.2423
2024-03-06 13:40:00-05:00,510.62,511.02,510.56,510.98,237512,121321130.3248
2024-03-06 13:41:00-05:00,510.97,511.115,510.86,510.96,209599,107097752.2674
2024-03-06 13:42:00-05:00,510.98,511.065,510.9,510.99,99823,51008055.7159
2024-03-06 13:43:00-05:00,511.03,511.06,510.89,511.0,83683,42763268.1939
2024-03-06 13:44:00-05:00,511.01,511.1484,510.8912,511.1484,97883,50025966.1533
2024-03-06 13:45:00-05:00,511.14,511.23,510.94,510.98,134573,68774879.1049
2024-03-06 13:46:00-05:00,511.0,511.02,510.5,510.6,159632,81540026.0872
2024-03-06 13:47:00-05:00,510.6,510.63,509.66,509.93,369743,188666911.6693
2024-03-06 13:48:00-05:00,509.41,510.06,509.35,509.41,281911,143608283.5424
2024-03-06 13:49:00-05:00,509.43,509.43,509.4,509.4,261544,133234435.004
2024-03-06 13:50:00-05:00,509.38,509.89,509.12,509.55,428294,218200801.1415
2024-03-06 13:51:00-05:00,509.47,509.6,509.26,509.47,151938,77407853.0455
2024-03-06 13:52:00-05:00,509.46,509.6215,509.36,509.56,122223,62273840.0586
2024-03-06 13:53:00-05:00,509.56,509.98,509.515,509.87,291677,148672140.9868
2024-03-06 13:54:00-05:00,509.85,509.86,509.53,509.5501,135699,69165788.1683
2024-03-06 13:55:00-05:00,509.6001,509.92,509.49,509.88,139120,70915035.9326
2024-03-06 13:56:00-05:00,510.04,510.04,510.04,510.04,257357,131262366.4791
2024-03-06 13:57:00-05:00,510.01,510.25,510.01,510.16,116831,59593741.4194
2024-03-06 13:58:00-05:00,510.15,510.21,510.02,510.1,102755,52417894.375
2024-03-06 13:59:00-05:00,510.103,510.38,510.08,510.15,120437,61438104.7218
2024-03-06 14:00:00-05:00,510.16,510.16,509.65,509.74,215793,110043639.6915
2024-03-06 14:01:00-05:00,509.82,509.94,509.64,509.84,372371,189845907.6118
2024-03-06 14:02:00-05:00,509.8404,509.95,509.73,509.8,89280,45516746.6016
2024-03-06 14:03:00-05:00,509.78,509.82,509.51,509.6,129993,66256132.4874
2024-03-06 14:04:00-05:00,509.6,509.6,509.28,509.44,230819,117606897.8662
2024-03-06 14:05:00-05:00,509.45,510.1,509.45,510.02,374289,190788203.6434
2024-03-06 14:06:00-05:00,510.06,510.43,510.06,510.25,279078,142373036.7493
2024-03-06 14:07:00-05:00,510.28,510.41,510.07,510.15,140941,71910211.7989
2024-03-06 14:08:00-05:00,510.15,510.37,510.0,510.01,89804,45807224.4844
2024-03-06 14:09:00-05:00,510.01,510.23,510.01,510.11,90180,45997210.5798
2024-03-06 14:10:00-05:00,510.11,510.11,509.75,509.82,152096,77563636.083
2024-03-06 14:11:00-05:00,509.83,509.91,509.605,509.61,84830,43239546.4091
2024-03-06 14:12:00-05:00,509.61,510.01,509.57,509.985,95258,48562288.8596
2024-03-06 14:13:00-05:00,510.12,510.16,509.95,510.12,120874,61660244.2898
2024-03-06 14:14:00-05:00,510.13,510.13,509.06,509.2197,381603,194493451.9616
2024-03-06 14:15:00-05:00,509.23,509.315,508.52,508.52,373086,189854138.25
2024-03-06 14:16:00-05:00,508.52,509.0,508.52,508.73,360585,183402545.625
2024-03-06 14:17:00-05:00,508.73,509.32,508.73,509.3,259501,132089901.3566
